,date,variable,value
326,12/14/20,Brazil,25193
327,12/15/20,Brazil,42889
328,12/16/20,Brazil,70574
329,12/17/20,Brazil,69826
330,12/18/20,Brazil,52544
331,12/19/20,Brazil,50177
332,12/20/20,Brazil,25445
333,12/21/20,Brazil,25019
334,12/22/20,Brazil,55202
335,12/23/20,Brazil,46696
336,12/24/20,Brazil,58428
337,12/25/20,Brazil,24615
338,12/26/20,Brazil,17246
339,12/27/20,Brazil,18479
340,12/28/20,Brazil,20548
341,12/29/20,Brazil,58718
342,12/30/20,Brazil,55649
343,12/31/20,Brazil,56773
344,1/1/21,Brazil,24605
345,1/2/21,Brazil,15827
346,1/3/21,Brazil,17341
347,1/4/21,Brazil,20006
348,1/5/21,Brazil,56648
349,1/6/21,Brazil,63430
350,1/7/21,Brazil,87843
351,1/8/21,Brazil,52035
352,1/9/21,Brazil,62290
353,1/10/21,Brazil,29792
354,1/11/21,Brazil,25822
355,1/12/21,Brazil,64025
356,1/13/21,Brazil,60899
357,1/14/21,Brazil,67758
358,1/15/21,Brazil,69198
359,1/16/21,Brazil,61567
360,1/17/21,Brazil,33040
361,1/18/21,Brazil,23671
362,1/19/21,Brazil,62094
363,1/20/21,Brazil,64385
364,1/21/21,Brazil,59119
365,1/22/21,Brazil,56552
366,1/23/21,Brazil,62334
367,1/24/21,Brazil,28323
368,1/25/21,Brazil,26816
369,1/26/21,Brazil,61963
370,1/27/21,Brazil,63520
371,1/28/21,Brazil,61811
372,1/29/21,Brazil,59826
373,1/30/21,Brazil,58462
374,1/31/21,Brazil,27756
375,2/1/21,Brazil,24591
376,2/2/21,Brazil,54096
377,2/3/21,Brazil,56002
378,2/4/21,Brazil,56873
379,2/5/21,Brazil,50872
380,2/6/21,Brazil,0
381,2/7/21,Brazil,77475
382,2/8/21,Brazil,0
383,2/9/21,Brazil,74925
384,2/10/21,Brazil,59602
385,2/11/21,Brazil,54742
386,2/12/21,Brazil,51546
387,2/13/21,Brazil,44299
388,2/14/21,Brazil,24759
389,2/15/21,Brazil,32197
390,2/16/21,Brazil,55271
391,2/17/21,Brazil,56766
392,2/18/21,Brazil,51879
393,2/19/21,Brazil,53582
394,2/20/21,Brazil,54940
395,2/21/21,Brazil,29026
396,2/22/21,Brazil,26986
397,2/23/21,Brazil,62715
398,2/24/21,Brazil,66588
399,2/25/21,Brazil,65998
400,2/26/21,Brazil,65169
401,2/27/21,Brazil,61602
402,2/28/21,Brazil,34027
403,3/1/21,Brazil,35742
404,3/2/21,Brazil,59925
405,3/3/21,Brazil,71704
406,3/4/21,Brazil,75102
407,3/5/21,Brazil,75495
408,3/6/21,Brazil,69609
409,3/7/21,Brazil,80508
410,3/8/21,Brazil,32321
411,3/9/21,Brazil,70764
412,3/10/21,Brazil,79876
413,3/11/21,Brazil,75412
414,3/12/21,Brazil,85663
415,3/13/21,Brazil,76178
416,3/14/21,Brazil,43812
417,3/15/21,Brazil,36239
418,3/16/21,Brazil,83926
419,3/17/21,Brazil,90303
420,3/18/21,Brazil,86982
421,3/19/21,Brazil,90570
422,3/20/21,Brazil,79069
423,3/21/21,Brazil,47774
424,3/22/21,Brazil,49293
425,3/23/21,Brazil,82493
426,3/24/21,Brazil,89992
427,3/25/21,Brazil,100158
428,3/26/21,Brazil,84245
429,3/27/21,Brazil,85948
430,3/28/21,Brazil,44326
431,3/29/21,Brazil,38927
432,3/30/21,Brazil,84494
433,3/31/21,Brazil,90638
434,4/1/21,Brazil,91097
435,4/2/21,Brazil,70238
436,4/3/21,Brazil,43515
437,4/4/21,Brazil,31359
438,4/5/21,Brazil,28645
439,4/6/21,Brazil,86979
440,4/7/21,Brazil,92625
441,4/8/21,Brazil,86652
442,4/9/21,Brazil,93317
443,4/10/21,Brazil,71832
444,4/11/21,Brazil,37017
445,4/12/21,Brazil,35785
446,4/13/21,Brazil,82186
447,4/14/21,Brazil,73513
448,4/15/21,Brazil,73174
449,4/16/21,Brazil,85774
450,4/17/21,Brazil,67636
451,4/18/21,Brazil,42980
452,4/19/21,Brazil,30624
453,4/20/21,Brazil,69381
454,4/21/21,Brazil,79719
455,4/22/21,Brazil,45178
456,4/23/21,Brazil,69105
457,4/24/21,Brazil,71137
458,4/25/21,Brazil,32572
459,4/26/21,Brazil,28636
460,4/27/21,Brazil,72140
461,4/28/21,Brazil,79726
462,4/29/21,Brazil,69389
463,4/30/21,Brazil,68333
464,5/1/21,Brazil,66964
465,5/2/21,Brazil,28935
466,5/3/21,Brazil,24619
467,5/4/21,Brazil,77359
468,5/5/21,Brazil,73295
469,5/6/21,Brazil,73380
470,5/7/21,Brazil,78886
471,5/8/21,Brazil,63430
472,5/9/21,Brazil,38911
473,5/10/21,Brazil,25200
474,5/11/21,Brazil,72715
475,5/12/21,Brazil,76692
476,5/13/21,Brazil,74592
477,5/14/21,Brazil,85536
478,5/15/21,Brazil,67009
479,5/16/21,Brazil,40709
480,5/17/21,Brazil,30148
481,5/18/21,Brazil,75445
482,5/19/21,Brazil,79219
483,5/20/21,Brazil,82039
484,5/21/21,Brazil,76855
485,5/22/21,Brazil,76490
486,5/23/21,Brazil,35819
487,5/24/21,Brazil,37498
488,5/25/21,Brazil,73453
489,5/26/21,Brazil,80486
490,5/27/21,Brazil,67467
491,5/28/21,Brazil,49768
492,5/29/21,Brazil,79670
493,5/30/21,Brazil,43520
494,5/31/21,Brazil,30434
495,6/1/21,Brazil,78926
496,6/2/21,Brazil,95601
497,6/3/21,Brazil,83391
498,6/4/21,Brazil,37936
499,6/5/21,Brazil,66017
500,6/6/21,Brazil,39637
501,6/7/21,Brazil,37156
502,6/8/21,Brazil,52911
503,6/9/21,Brazil,85748
504,6/10/21,Brazil,88092
505,6/11/21,Brazil,85149
506,6/12/21,Brazil,78700
507,6/13/21,Brazil,37948
508,6/14/21,Brazil,39846
509,6/15/21,Brazil,80609
510,6/16/21,Brazil,95367
511,6/17/21,Brazil,74042
512,6/18/21,Brazil,98832
513,6/19/21,Brazil,82288
514,6/20/21,Brazil,44178
515,6/21/21,Brazil,38903
516,6/22/21,Brazil,87822
517,6/23/21,Brazil,115228
518,6/24/21,Brazil,73602
519,6/25/21,Brazil,79277
520,6/26/21,Brazil,64134
521,6/27/21,Brazil,33704
522,6/28/21,Brazil,27804
523,6/29/21,Brazil,64903
524,6/30/21,Brazil,43836
525,7/1/21,Brazil,65163
526,7/2/21,Brazil,65165
527,7/3/21,Brazil,54556
528,7/4/21,Brazil,27783
529,7/5/21,Brazil,22703
530,7/6/21,Brazil,62504
531,7/7/21,Brazil,54022
532,7/8/21,Brazil,53725
533,7/9/21,Brazil,57737
534,7/10/21,Brazil,48504
535,7/11/21,Brazil,20937
536,7/12/21,Brazil,17031
537,7/13/21,Brazil,45022
538,7/14/21,Brazil,57736
539,7/15/21,Brazil,52789
540,7/16/21,Brazil,45591
